Comparison,Z,P.unadj,P.adj
0_hour - 1_week,-0.7126966450997984,0.47603349294242964,0.8568602872963733
0_hour - 12_hour,-0.563436169819011,0.5731379133840764,0.92111450365298
1_week - 12_hour,0.3380617018914066,0.7353166906373406,0.8943040832075765
0_hour - 12_week,-0.47280542884465027,0.636352000561351,0.9545280008420265
1_week - 12_week,0.4000661320993193,0.6891078084686368,0.9396924660935956
12_hour - 12_week,0.10997147984564293,0.9124319934847626,0.954870690856147
0_hour - 2_week,-1.1638287479252927,0.2444934194091335,1
1_week - 2_week,-0.2909571869813231,0.7710840634043519,0.8674695713298959
12_hour - 2_week,-0.9347575786879656,0.3499132460510463,0.9262409454292402
12_week - 2_week,-0.9772545497599152,0.3284431480551786,0.9237463539051898
0_hour - 30_hour,-1.2365680446706233,0.2162474894889227,1
1_week - 30_hour,-0.36369648372665386,0.7160846693815506,0.8951058367269382
12_hour - 30_hour,-1.0447290585336084,0.2961482106017161,0.8884446318051482
12_week - 30_hour,-1.080123449734643,0.28008721081149757,0.900280320465528
2_week - 30_hour,-0.10286889997472784,0.9180670209468027,0.9389321805137755
0_hour - 4_week,-1.748771299570375,0.080330559738319,1
1_week - 4_week,-0.9258200997725514,0.35453947977350136,0.8863486994337534
12_hour - 4_week,-1.745743121887939,0.08085559837005234,1
12_week - 4_week,-1.7481660836672974,0.0804352726629758,1
2_week - 4_week,-0.8740830418336488,0.382073031947308,0.904909812506782
30_hour - 4_week,-0.7820743005880016,0.4341709090449494,0.8880768594101238
0_hour - 6_hour,-0.7606388292556648,0.44687282071083084,0.8743163883472778
1_week - 6_hour,0.14085904245475275,0.8879812988498189,0.9746136206888257
12_hour - 6_hour,-0.31180478223116176,0.7551888894226785,0.8713717954877058
12_week - 6_hour,-0.39864661444045585,0.6901536093205789,0.9134386005713544
2_week - 6_hour,0.6460824440931526,0.5182259642920275,0.8637099404867126
30_hour - 6_hour,0.7560539239387956,0.4496168657312792,0.8430316232461484
4_week - 6_hour,1.4911555832792813,0.1359206519957299,1
0_hour - 6_week,-1.2959031905837253,0.19500883988922096,1
1_week - 6_week,-0.3944053188733077,0.6932818175044811,0.8913623367914758
12_hour - 6_week,-1.1581320482871722,0.24681015326181152,0.9255380747317932
12_week - 6_week,-1.1821934083406624,0.23712896753713253,1
2_week - 6_week,-0.13746434980705388,0.8906637699277309,0.9542826106368545
30_hour - 6_week,-0.02749286996141095,0.9780666266460133,0.9780666266460133
4_week - 6_week,0.8001322641986387,0.423634169578966,0.9077875062406414
6_hour - 6_week,-0.8463272660560105,0.39737020128916656,0.8940829529006248
0_hour - 8_week,-1.4915990496335552,0.13580428750315623,1
1_week - 8_week,-0.6686478498357316,0.5037201414367287,0.8718233217174152
12_hour - 8_week,-1.382046638161285,0.1669573814442152,1
12_week - 8_week,-1.4031333039961202,0.1605770916079557,1
2_week - 8_week,-0.5290502621624716,0.596770583350869,0.9260233189927277
30_hour - 8_week,-0.4370415209168245,0.6620812363808812,0.9610856657141824
4_week - 8_week,0.314970394174356,0.752784132649847,0.8914548939274504
6_hour - 8_week,-1.1274590995526272,0.25954842387471283,0.898436851874006
6_week - 8_week,-0.4364357804719847,0.6625205835400575,0.9316695706032059
