Comparison,Z,P.unadj,P.adj
0_hour - 1_week,-1.885855671,0.059314406470354526,0.5338296582331907
0_hour - 12_hour,-1.024104644,0.30578585098754757,0.8094331349670376
1_week - 12_hour,0.6626559463445616,0.5075509302150727,0.8784535330645489
0_hour - 12_week,-0.808223859,0.41896172515934105,0.7855532346737645
1_week - 12_week,1.0776318121606494,0.2811980995641791,0.8435942986925373
12_hour - 12_week,0.3012072483384371,0.7632564629684944,0.9282848873941147
0_hour - 2_week,-2.738980856,0.006162996,0.2773348290467628
1_week - 2_week,-0.853125185,0.39358988660490885,0.8050702226009498
12_hour - 2_week,-1.425714309,0.15395082453098347,0.7697541226549174
12_week - 2_week,-1.930756997,0.053513110674662905,0.8026966601199436
0_hour - 30_hour,-1.686760591,0.091649396,0.515527853
1_week - 30_hour,0,1,1
12_hour - 30_hour,-0.604919349,0.545232586,0.8762666557752049
12_week - 30_hour,-0.963863195,0.3351145185269775,0.7540076666856994
2_week - 30_hour,0.7630583624573739,0.44542859038494637,0.8017714626929034
0_hour - 4_week,-2.664085252,0.0077198,0.17369549030204776
1_week - 4_week,-0.648020737,0.516971538,0.8616192300332567
12_hour - 4_week,-1.27000127,0.20408417776557328,0.9183787999450798
12_week - 4_week,-1.800057603,0.071851543,0.5388865740191335
2_week - 4_week,0.26400844840552545,0.7917734087654692,0.9135847024216951
30_hour - 4_week,-0.571500572,0.5676603730494106,0.8808523030077061
0_hour - 6_hour,-1.265070443,0.2058460771214798,0.8420975882242355
1_week - 6_hour,0.42169014767381197,0.673251197,0.9467594953582794
12_hour - 6_hour,-0.219970673,0.8258939952297807,0.9291307446335033
12_week - 6_hour,-0.542173047,0.5876993010818381,0.8531118886671843
2_week - 6_hour,1.1847485101311859,0.23611689619632648,0.8173277176026686
30_hour - 6_hour,0.3849486769310524,0.7002754406266279,0.9268351420058311
4_week - 6_hour,1.016001016001524,0.3096289027306329,0.7333316117304464
0_hour - 6_week,-1.692054147,0.09063565,0.5826577505935238
1_week - 6_week,0.32401036849769055,0.7459301844069186,0.9590530942374669
12_hour - 6_week,-0.412750413,0.6797894853304639,0.9269856618142689
12_week - 6_week,-0.828026497,0.4076554939347669,0.7975868359593266
2_week - 6_week,1.236039553898597,0.2164438614175113,0.8116644803156673
30_hour - 6_week,0.2857502857504286,0.7750693872634045,0.9178453270224526
4_week - 6_week,1.0499135909145556,0.293757842,0.8261939316518803
6_hour - 6_week,-0.158750159,0.8738657182599415,0.914510635
0_hour - 8_week,-1.927726389,0.053889167882958895,0.6062531386832876
1_week - 8_week,0.18072434900306214,0.8565839457410923,0.9401531111792477
12_hour - 8_week,-0.565267768,0.5718916484825418,0.8578374727238127
12_week - 8_week,-1.024104644,0.3057858509875476,0.7644646274688691
2_week - 8_week,1.1345473020747794,0.2565650438415172,0.8246733552048767
30_hour - 8_week,0.15774914461488557,0.8746544734792061,0.8945329842400971
4_week - 8_week,0.9345518159921328,0.35001932063705843,0.7500414013651252
6_hour - 8_week,-0.302352527,0.7623833399486111,0.9529791749357639
6_week - 8_week,-0.172154282,0.8633162389488735,0.9249816845880787
