Comparison,Z,P.unadj,P.adj
0_hour - 1_week,1.7511516947610555,0.0799197836318803,0.5137700376335163
0_hour - 12_hour,2.6707042686008093,0.007569230112804042,0.17030767753809095
1_week - 12_hour,1.104426577240936,0.26940813717442524,0.5510620987658698
0_hour - 12_week,0.13470397652008118,0.8928459290408108,0.8928459290408108
1_week - 12_week,-1.6164477182409744,0.10599754842494567,0.4336263344656868
12_hour - 12_week,-2.5502213692654343,0.010765453817140211,0.0968890843542619
0_hour - 2_week,1.5266450672275869,0.12684929401514522,0.40772987362010965
1_week - 2_week,-0.22450662753346853,0.822363110505381,0.8606125575056314
12_hour - 2_week,-1.3052314094665607,0.19181406190179628,0.4542964623989912
12_week - 2_week,1.3919410907075058,0.1639402374800299,0.4339594521530203
0_hour - 30_hour,1.7068410739178104,0.08785159575485346,0.49416522612105074
1_week - 30_hour,0.14056338255793724,0.8882148774452477,0.908401579205367
12_hour - 30_hour,-0.8798826901281198,0.3789228628692691,0.6820611531646843
12_week - 30_hour,1.5863581745824356,0.11265808260508203,0.4224678097690576
2_week - 30_hour,0.34136821478356194,0.7328264004492584,0.8244297005054158
0_hour - 4_week,1.3560433940829273,0.17508536162253338,0.43771340405633347
1_week - 4_week,-0.5160165127926183,0.6058428762271794,0.7573035952839742
12_hour - 4_week,-1.6192516192524289,0.10539313566207548,0.4742691104793396
12_week - 4_week,1.2120387858617314,0.22549753406324868,0.4832090015641043
2_week - 4_week,-0.2760088324239588,0.7825412823551066,0.8588867733165805
30_hour - 4_week,-0.6032506032509048,0.546341988576989,0.7230996907636619
0_hour - 6_hour,0.8032193289024991,0.4218479754533628,0.6779699605500473
1_week - 6_hour,-0.7630583624573741,0.44542859038494625,0.6911822954249166
12_hour - 6_hour,-1.7047727121232321,0.08823682268091597,0.44118411340457986
12_week - 6_hour,0.6827364295671242,0.4947734057307829,0.7421601085961743
2_week - 6_hour,-0.5622535302317494,0.5739432945009847,0.7379270929298375
30_hour - 6_hour,-0.8248900219951123,0.40943403168145187,0.6823900528024198
4_week - 6_hour,-0.3492503492505239,0.726901369823769,0.8387323497966565
0_hour - 6_week,2.724087172184287,0.006447948507568168,0.2901576828405676
1_week - 6_week,0.8520272653087416,0.3941989593208856,0.6822674295938405
12_hour - 6_week,-0.41275041275061913,0.6797894853304639,0.8267709956721858
12_week - 6_week,2.5800825639630913,0.00987766959413326,0.11112378293399917
2_week - 6_week,1.0920349456774012,0.2748177414004889,0.5376868853487827
30_hour - 6_week,0.6032506032509048,0.546341988576989,0.745011802604985
4_week - 6_week,1.477656164990856,0.13949983291379942,0.41849949874139825
6_hour - 6_week,1.5557515557523336,0.11976718181758836,0.414578706291652
0_hour - 8_week,2.6004225773218397,0.009310902642331476,0.13966353963497213
1_week - 8_week,0.642575463121999,0.5204996086600453,0.7319525746781887
12_hour - 8_week,-0.6441423405107832,0.5194831365020833,0.7540884239546372
12_week - 8_week,2.4498189531526213,0.014292806044743754,0.10719604533557815
2_week - 8_week,0.8935815034040298,0.3715458464508679,0.6966484620953773
30_hour - 8_week,0.4075186235884546,0.6836271186471222,0.8095584299768552
4_week - 8_week,1.2870582027260076,0.19807400238485826,0.44566650536593105
6_hour - 8_week,1.39345077743149,0.16348351990828217,0.4597973997420436
6_week - 8_week,-0.27052815726088064,0.7867539578377782,0.8429506691119052
