gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Pocillopora_acuta_KBHIv2___RNAseq.g12365.t1,267.3115385,10.30180992,0.404582822,24.01695499,1.85E-127,9.96E-125,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21775.t1,139.954742,9.711148179,0.398888914,22.87901557,7.52E-116,3.26E-113,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g11818.t1b,95.55665645,9.583941286,0.410567902,21.91836904,1.74E-106,5.71E-104,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.17790_t,529.9658394,9.554077866,0.352861214,25.41825231,1.58E-142,1.22E-139,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g16654.t1,246.6394082,9.42826057,0.358828305,24.64492893,4.17E-134,2.56E-131,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g9734.t1,86.02643964,9.300510905,0.40313802,21.61926678,1.18E-103,3.51E-101,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g12115.t1,198.976922,9.055021963,0.429258224,19.73185134,1.15E-86,2.22E-84,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24974.t1,61.5092577,9.012309129,0.42312245,19.91703967,2.90E-88,5.72E-86,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g9077.t1,54.68662978,8.921130546,0.413265901,20.17143931,1.74E-90,3.88E-88,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g13324.t1b,102.3016301,8.91611198,0.376764431,22.11235665,2.40E-108,8.38E-106,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g25641.t1,61.19681116,8.753575905,0.40970285,19.93789742,1.91E-88,3.81E-86,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21781.t1,81.29620186,8.747005856,0.400186891,20.395579,1.83E-92,4.34E-90,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g14838.t1,69.88147915,8.737160854,0.408420473,19.96030778,1.22E-88,2.46E-86,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g9076.t1,67.23956981,8.693490558,0.415766809,19.50258627,1.04E-84,1.89E-82,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g17067.t1,98.25884385,8.640721443,0.395481449,20.3694989,3.12E-92,7.29E-90,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24130.t1c,53.90900059,8.541169296,0.406264002,19.58383407,2.12E-85,4.06E-83,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g8321.t1,39.32196429,8.425955593,0.411804125,19.04058902,7.86E-81,1.31E-78,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g15184.t1,33.46623442,8.411585059,0.528758562,14.80188335,1.42E-49,9.63E-48,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g7172.t1,26.3787072,8.350135588,0.403714956,19.23429631,1.91E-82,3.27E-80,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g13324.t1c,25.22932536,8.344883358,0.407856332,19.02611347,1.04E-80,1.71E-78,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g9085.t1,474.3364542,8.340340268,0.23179981,33.45722225,2.02E-245,5.13E-242,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g29340.t1,43.16219403,8.288302219,0.409077697,18.83099416,4.21E-79,6.68E-77,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g11971.t1,46.76769077,8.264577895,0.413759841,18.56056252,6.70E-77,1.00E-74,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21488.t1,140.3597443,8.106643518,0.397759089,18.91014242,9.41E-80,1.51E-77,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g1046.t1,34.01283472,8.055244858,0.420385231,17.77008756,1.21E-70,1.56E-68,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g8291.t1,70.10565998,7.952369349,0.405003823,18.1909563,6.09E-74,8.59E-72,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g13326.t1a,38.85565567,7.950137639,0.426854621,17.25452829,1.03E-66,1.23E-64,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g6861.t1b,39.19938756,7.90043103,0.41776205,17.51108921,1.18E-68,1.45E-66,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g9541.t1,37.56437073,7.867963433,0.406984455,17.89503466,1.29E-71,1.72E-69,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g20219.t1,25.58433959,7.840388501,0.435563545,16.65756026,2.67E-62,2.76E-60,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g22317.t1,38.00728297,7.816479015,0.403430419,17.92506508,7.52E-72,1.02E-69,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g20902.t1,60.65511512,7.632816877,0.417741599,16.87132524,7.31E-64,8.07E-62,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g19817.t1,43.64081766,7.589201858,0.41320865,16.95085366,1.90E-64,2.15E-62,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g1049.t1,40.57657008,7.576641212,0.435744101,16.04537779,6.16E-58,5.42E-56,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21793.t1a,491.2491152,7.481499581,0.159393772,43.26729333,0,0,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g2776.t1,24.47781566,7.471301255,0.424650076,16.21650189,3.86E-59,3.55E-57,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g6358.t1,39.49655645,7.40785794,0.429654497,15.87995818,8.72E-57,7.38E-55,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g16845.t1,18.52552814,7.388066059,0.451307863,15.07419683,2.39E-51,1.70E-49,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g29348.t1,29.11477088,7.383044594,0.45673145,14.88419966,4.17E-50,2.86E-48,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g4293.t1,77.77973438,7.366095447,0.478125034,14.1827607,1.17E-45,7.01E-44,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g12352.t1,22.11228543,7.349939881,0.429915817,15.73558616,8.63E-56,7.00E-54,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g19452.t1,36.77635777,7.333303249,0.400662073,16.84297366,1.18E-63,1.30E-61,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g29336.t1,31.13324021,7.307273691,0.411386128,16.34063652,5.07E-60,4.87E-58,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g30518.t2,27.97706412,7.305412755,0.422860437,15.89283288,7.10E-57,6.04E-55,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24340.t1b,33.50675199,7.191545097,0.448649677,14.72548167,4.42E-49,2.91E-47,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g18264.t1,24.42164722,7.158998723,0.457111922,14.38167746,6.74E-47,4.16E-45,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g29338.t1,17.73404925,7.150511457,0.435070381,15.09077436,1.86E-51,1.33E-49,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g17714.t1,57.81497207,7.14657897,0.372199265,17.62931065,1.47E-69,1.84E-67,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g1382.t1,39.53607283,7.082286634,0.406708063,15.97540036,1.90E-57,1.64E-55,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g30968.t1,30.92837618,7.063936431,0.397368681,16.30469194,9.14E-60,8.56E-58,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g24478.t1,31.64624598,7.054714132,0.566946127,11.41158096,3.66E-30,1.38E-28,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g9682.t1,15.743605,7.018176321,0.433229893,14.84942273,7.02E-50,4.80E-48,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g21511.t1,20.63263731,6.992124487,0.418000158,15.32813292,4.96E-53,3.80E-51,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___TS.g21372.t1,22.1302259,6.971584659,0.438958839,14.54947843,5.89E-48,3.76E-46,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g13787.t1,50.43423217,6.901759013,0.578846632,10.91272915,1.00E-27,3.52E-26,Up.Group3_v_Group6
Pocillopora_acuta_KBHIv2___RNAseq.g12631.t1,12.69907915,6.885504587,0.432178368,14.57856882,3.84E-48,2.47E-46,Up.Group3_v_Group6
