Sample	Species	Treatment	Temperature	CO2	Timepoint	Reef	Tank
Mcapitata_ATAC_TP1_1037	Mcapitata	ATAC	Amb	Amb	TP4	Reef.35.36	1
Mcapitata_ATAC_TP1_1600	Mcapitata	ATAC	Amb	Amb	TP6	Reef.42.43	6
Mcapitata_ATAC_TP1_1652	Mcapitata	ATAC	Amb	Amb	TP2	HIMB	8
Mcapitata_ATAC_TP3_1101	Mcapitata	ATAC	Amb	Amb	TP4	HIMB	1
Mcapitata_ATAC_TP3_1548	Mcapitata	ATAC	Amb	Amb	TP2	Reef.11.13	8
Mcapitata_ATAC_TP3_1628	Mcapitata	ATAC	Amb	Amb	TP7	HIMB	6
Mcapitata_ATAC_TP4_1108	Mcapitata	ATAC	Amb	Amb	TP2	Reef.35.36	1
Mcapitata_ATAC_TP4_1609	Mcapitata	ATAC	Amb	Amb	TP3	HIMB	6
Mcapitata_ATAC_TP4_1651	Mcapitata	ATAC	Amb	Amb	TP7	HIMB	8
Mcapitata_ATAC_TP5_1196	Mcapitata	ATAC	Amb	Amb	TP5	Reef.18	1
Mcapitata_ATAC_TP5_1610	Mcapitata	ATAC	Amb	Amb	TP4	Reef.42.43	6
Mcapitata_ATAC_TP5_1776	Mcapitata	ATAC	Amb	Amb	TP5	Reef.42.43	8
Mcapitata_ATAC_TP6_1114	Mcapitata	ATAC	Amb	Amb	TP2	Reef.42.43	1
Mcapitata_ATAC_TP6_1611	Mcapitata	ATAC	Amb	Amb	TP1	Reef.42.43	6
Mcapitata_ATAC_TP6_2402	Mcapitata	ATAC	Amb	Amb	TP7	Reef.18	8
Mcapitata_ATAC_TP7_1058	Mcapitata	ATAC	Amb	Amb	TP5	Lilipuna.Fringe	1
Mcapitata_ATAC_TP7_1455	Mcapitata	ATAC	Amb	Amb	TP6	Reef.35.36	6
Mcapitata_ATAC_TP7_1499	Mcapitata	ATAC	Amb	Amb	TP6	Reef.35.36	8
Mcapitata_ATAC_TP8_1083	Mcapitata	ATAC	Amb	Amb	TP4	Reef.35.36	1
